Flood Forecast Log Sheet - 2020 (FFWC),,,,,,,,
Date,Observed Water Level Today,Forecast Water Level Next 5 days,"Danger Level
(mPWD)","FbF Danger Level
(mPWD)","Recorded Highest Water Level
(mPWD)",Station & River Name,Notification,Team
20/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
20/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
20/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
20/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
20/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
21/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
21/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
21/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
21/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
21/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
22/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
22/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
22/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
22/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
22/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
23/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
23/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
23/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
23/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
23/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
24/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
24/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
24/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
24/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
24/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
25/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
